Datetime,Tweet Id,Text,Username
2022-01-31 15:49:45+00:00,1488177691861950471,"#Hope #USA ‘Stealth’ #Omicron #COVID19 #Variant No Cause for Alarm, but Could Slow Case Decline(NYTimes WTF?) #Scientists on alert over cases caused by Omicron cousin https://t.co/9PIaA4huWY",Joeanthony_nyc
2022-01-31 15:49:43+00:00,1488177682936471557,4) Side note- New York liberals deserve large credit for not locking down because of the Omicron scariant.,CiceroandHayek
2022-01-31 15:49:42+00:00,1488177681053237248,@nadhimzahawi Your jab does nothing for Omicron.,clattyclaire
2022-01-31 15:49:35+00:00,1488177649231048720,"Government eases social care restrictions

Restrictions in place to help prevent the spread of Omicron in adult social care will now be eased as Plan B measures are removed following the success of the booster programme. https://t.co/ExTgirBJTM",ServocaNursing
2022-01-31 15:49:34+00:00,1488177646718656513,"@recalltonal It's omicron stealth maybe they are just gonna come up with cute little names to go after omicron, but I feel like we're stuck in a loop of hell and this isn't ever going away",summerstoli
2022-01-31 15:49:33+00:00,1488177643866497024,@althiaraj @OttawaPolice Delta had one job and it failed.   Omicron is too weak.,darthclarick
2022-01-31 15:49:33+00:00,1488177640334839819,"@OlgaLawrence13 @RMConservative Olga, you’re an uninformed, low IQ sheep. Studies in Japan have proven ivermectin efficacy against omicron.",connieSuver
2022-01-31 15:49:30+00:00,1488177628569813004,#Japan's Kowa says #ivermectin showed 'antiviral effect' against #Omicron #SmartNews  https://t.co/CDcbmLHdI5,Paxtree
2022-01-31 15:49:29+00:00,1488177623360442374,Japan's Kowa says ivermectin showed 'antiviral effect' against Omicron - Reuters    https://t.co/yToLYEEZzH,sarang143u
2022-01-31 15:49:24+00:00,1488177602619715589,"Omicron Killed 146 In January, 48 In Jammu Alone https://t.co/fwjnNogTx3",TheNewsCaravan
2022-01-31 15:49:13+00:00,1488177558214656006,"@Krommsan Could be true (many triple vaxxed around here are catching Omicron, and the reason for being in quarantine is that you are at risk for being infected), but could also be a cover.
Here his plane is landing in Berlin on January 29. No idea who was on board.

https://t.co/PqFRbwGwCk",iconfu
2022-01-31 15:49:13+00:00,1488177557593899009,"I have Natural Immunity, Pfizer shots 1 and 2.  I had Omicron.  I AM NOT GETTING A FAUCI/BIDEN booster.  I also do not wear a mask.",rmooredenton
2022-01-31 15:49:12+00:00,1488177554959839237,"@FreedomDogz @jkay2000 @mikiebarb Omicron is new.  New data, new recommendations.  Did you know scientists once said the earth was the center of the universe.  Because that was wrong, does that mean all scientific discovery can’t be trusted.",Truth_Hz_Donut
2022-01-31 15:49:09+00:00,1488177541307322369,"@StackhardR @Matt04127792 @jimmylittle @Freemason_UK Which it doesn’t, Japan is showcasing Ivermectin has better results than the Moderna vaccine against omicron. CNN has been claiming it was livestock medicine for months now. That’s true misinformation.",wcupunk13
2022-01-31 15:49:05+00:00,1488177523313815555,"Don't forget to register for our free webinar on how #COVID-19 and #Omicron are impacting #Canadians' #mental #health, this Wednesday, February 2 at 1pm ET. Sign up here: https://t.co/c8l1cRsVMp https://t.co/00nspktrqm",MHRCanada
2022-01-31 15:49:04+00:00,1488177521019564033,"@jmcrookston BA.1 has as much divergence from BA.2 as Alpha, Beta, Gamma have from WT.

I wonder if the studies saying Omicron doesn’t protect against itself are controlling for sub-lineage.",Willmusic4food
2022-01-31 15:49:04+00:00,1488177520583507970,"West Australian Governor Kim Beazley told an Australia Day citizenship ceremony that 10% of kids who catch omicron ""face death"", and ""we need to be fully vaccinated, above all our kids need it""
https://t.co/Bf8X1k7KZz",GraffitiExpert
2022-01-31 15:49:01+00:00,1488177505869737984,"@ThatMattOBrien @Neoavatara @joerogan Is Omicron smarter than Delta and therefor better able to get around the cloth masks? Or are you seriously going to cling to the falsehood that cloth masks stopped Delta, but not Omicron?",Conservative_X1
2022-01-31 15:49:00+00:00,1488177502468018177,"BREAKING: In new Japanese study, horse paste shows ""anti-viral effect"" against Omicron &amp; other variants. 🤣

https://t.co/e0RVxtjAmP https://t.co/Ks94NSSkzp",dannyhellman
2022-01-31 15:48:59+00:00,1488177498336768010,C19 vaccines do not prevent spread of Omicron.  Someone convince me otherwise…..hint:(you may need to convince the ceo of pfizer too),cmishmom
2022-01-31 15:48:59+00:00,1488177497971777543,"@SujathaHampton Also, you’re so incurious. 

That tweet from Sec Cordoza is from September, long before Omicron made even the most religious devotee of masks go ‘yeah, these things don’t really work anymore’. 

Seriously, stop gaslighting.",OHcs2021
2022-01-31 15:48:56+00:00,1488177486596825093,@drdavidsamadi @JustinTrudeau Omicron is more like the breeze from passing trucks.  Need to maintain social distance from trucks.,ssbawa
2022-01-31 15:48:56+00:00,1488177486471045124,"@bditcheva I do! I’m in Inman Sq a lot these days, so yes, let’s plan a meet-up in a few weeks when omicron is (hopefully) in full retreat! DM me and we’ll figure a spot 🙂",deepbluekate
2022-01-31 15:48:54+00:00,1488177477558153220,"@TheChefsGardens @DrTomori @LRedSchoolHouse “In addition to lower ratios of ED visits, hospitalizations, and deaths to cases observed during the Omicron period, disease severity indicators were also lower among hospitalized COVID-19 patients, including ICU admission, receipt of IMV, length of stay, and in-hospital death.”",michaelwhill2
2022-01-31 15:48:50+00:00,1488177459920998402,"Precious moments: 

$BNTX $PFE #Pfizer

CORRECTED-Japan's Kowa says ivermectin showed 'antiviral effect' against Omicron in research | Reuters
 https://t.co/SLmQfdHks7",Randall7575
2022-01-31 15:48:47+00:00,1488177450605445121,FINALLY! We are witnessing the pivot to 2nd generation non mRNA no spike protein traditionally made Covid-19 vaccines like #COVAXIN @WHO approved already- 200million doses with ZERO Death or Myocarditis. Now @EmoryUniversity Covaxin vs omicron!! 78% protection against infection! https://t.co/bUCgrDudWA,Chris34883890
2022-01-31 15:48:45+00:00,1488177438953594884,"BOOM

""Japanese trading and pharmaceutical company Kowa Co Ltd said on Monday anti-parasite drug #ivermectin showed an “antiviral effect” against Omicron and other variants of coronavirus in joint non-clinical research."" https://t.co/NnROvvZfhO #EarlyTreatment #OmicronVariant",jdeezy2k3
2022-01-31 15:48:40+00:00,1488177421560037381,"'Stealth' version of #Omicron #variant no cause for alarm, experts say https://t.co/DKYsK3FTYo",physorg_health
2022-01-31 15:48:37+00:00,1488177408679239681,@Maximus_ray @ctvottawa Omicron breakthrough infections have been happening since it arrived.  The fact that you only get mild symptoms instead of ending up intubated on life support is proof they are working. Idiot.,JamieWarren4
2022-01-31 15:48:37+00:00,1488177406909329409,European Businesses Ride Out the Omicron Wave https://t.co/a0roWa6sy0,takingthetrade
2022-01-31 15:48:35+00:00,1488177400370253826,"Andy Vermaut shares:European Businesses Ride Out the Omicron Wave: The Covid-19 variant dented fourth-quarter growth, but its effect was more muted than in previous surges as governments across the continent responded with lighter restrictions. https://t.co/fIFALArnNx Thank you! https://t.co/TPlBuNkXqV",AndyVermaut
2022-01-31 15:48:35+00:00,1488177396616368133,European Businesses Ride Out the Omicron Wave https://t.co/KLkiNverjR,tellmetimes
2022-01-31 15:48:33+00:00,1488177391255969792,A second version of omicron is spreading. Here's why scientists are on alert https://t.co/HJbIrV32Jn,TEMBAKDALEMSYNG
2022-01-31 15:48:32+00:00,1488177385031806981,"What happened? Well, Japanese pharma company IS conducting a phase III human trial of Ivermectin as a Covid treatment. We've known that for months. And today, Kowa published a press release claiming Ivermectin has an ""antiviral effect"" against Omicron. https://t.co/c7ECgG2tXO",ariehkovler
2022-01-31 15:48:28+00:00,1488177368296476683,Surge in pregnant covid cases in Tokyo associated with omicron. Mostly mild. News report 1252. https://t.co/i4QgF3O16S,jimgthornton
2022-01-31 15:48:26+00:00,1488177362881716229,@MEDConcepts @jstephenson1984 @M0h6R @JustinTrudeau im 21 years old. i got omicron and it lasted 2 days. i didnt even realise i had it until i mentioned my body and headaches to my friends and they told me they were covid symptoms.,axethesad
2022-01-31 15:48:25+00:00,1488177354790739972,$IPA ImmunoPrecise's COVID-19 Antibody Cocktail Shows Neutralization Activity Against Omicron $IPA https://t.co/TzQv7xeqdl # via @Benzinga,MarcJacksonLA
2022-01-31 15:48:24+00:00,1488177351410159617,"Another new variant 

Scientists on alert over rising cases caused by Omicron cousin BA.2 - Reuters https://t.co/tQw5NbddjE",AashViswanathan
2022-01-31 15:48:18+00:00,1488177327578267652,"NSW daily Covid, Omicron outbreak update: 13,026 new cases, 27 deaths https://t.co/c1li5101GG",aw_journal2021
2022-01-31 15:48:13+00:00,1488177307311390720,"@harleydonnarn ""Was told would've died without the vaccine""

Your chances of death without the vaccine were 0.04% (less if it's Omicron) without the vaccine. There's still no numbers on chances of death with the vaccine. How could anyone possibly know if you would've died?",RebelWithoutAP3
2022-01-31 15:48:10+00:00,1488177293151420417,"@DamienDuffy19 @Mochapup44 Exactly.. and did you see this? Just what I said would happen at the end of Nov when Omicron had already spread through the world. 🌎 Great News! For Africa and the entire world.🕊💖
https://t.co/6IGf3xVqGs",MyUltimatePlace
2022-01-31 15:48:09+00:00,1488177288759889930,@blanka121282 @Jluck91 @MentalCutThroat @AEW @WintrustArena South Africa’s medical people who first discovered it said the first omicron case was a vaxxed traveler in Singapore. They’re the ones who alerted about it. In Australia the only people allowed in are vaxxed. And it’s in Australia. So riddle me that,thunderfxnz
2022-01-31 15:48:08+00:00,1488177284376776707,"@Webster_Aaron Yes. Now that Omicron is ebbing, folks are ready for restrictions to end. (Naturally!)

But support for the mandates (when they were needed) has been strong throughout the pandemic.",mijustin
2022-01-31 15:48:06+00:00,1488177279041937410,"@ShashiTharoor People facing problem 
not with #omicron
People facing problem
With #modicron !",akjustice1
2022-01-31 15:48:06+00:00,1488177277946908673,"@JustinTrudeau Really? That's the tweet?! Quick to comment on other intl protests historically and now not a single word?! Instead you have the gall to say get vaxxed and boosted,?! Tone Deaf Much? The science has changed with Omicron its time our policies did and people are waking up finally!",RMCA82
2022-01-31 15:48:06+00:00,1488177276210475014,"@sashabrownworsh You have my sympathies. I’m sure it is very challenging. I hope we can get through this as quickly and painlessly as possible, but I believe that in the middle of this avalanche of Omicron that mask mandates are needed.",markwarschauer
2022-01-31 15:48:05+00:00,1488177273819828226,"@mroliverbarnes Here's a chart with the same data.
It shows Omicron is much weaker and the relative effect of vaccination. https://t.co/h1XXmuwy3y",BigMattSays
2022-01-31 15:48:05+00:00,1488177272033062916,"CORRECTED-Japan's Kowa says ivermectin showed 'antiviral effect' against Omicron in research. Japanese trading and pharmaceutical company Kowa Co Ltd said on Monday anti-parasite drug ivermectin showed an “#antiviral effect” #ivermectine #Japan

https://t.co/3F1DoP1z9y",Willy_Prins
2022-01-31 15:48:03+00:00,1488177266098016258,"West Bengal opens up flight operations from Delhi and Mumbai, Restricts flights from Bangalore to 3 times a week to contain Omicron threat https://t.co/VffSXxNSji via @LiveFromALounge",BoardingArea
2022-01-31 15:48:02+00:00,1488177260058144775,Some 492 residents suspected of having contracted Omicron infection https://t.co/KhC23zaPoT,AntaraEnglish
2022-01-31 15:48:01+00:00,1488177256199602176,@LozzaFox Omicron evades natural immunity.,pauldminshall
2022-01-31 15:48:01+00:00,1488177255864057856,@JustinTrudeau Try some ivermectin.  It has the best efficacy against Omicron.  I know fully vaxed people who’ve already had Omicron 2x.,eventheugly
